,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start.Date,Completion.Date,Last.Update.Posted,Locations,URL,MapCountry,Drugonly,Month,Completion.Year,day_of_week
500,501,Study of the Safety of Prophylactic Vaccination With 2nd Generation E1/E2B/E3-Deleted Adenoviral-COVID-19 in Normal Healthy Volunteers,Recruiting,Biological: hAd5-S-Fusion+N-ETSD vaccine,All,18 Years to 55 Years   (Adult),Phase 1,35.0,"October 19, 2020",2021-11-19,"November 20, 2020","Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States",https://ClinicalTrials.gov/show/NCT04591717,United States,,11.0,2021,Friday
501,502,Characterizing the Perioperative Epidemiology of SARS-CoV-2 (COVID-19) Spread for Quality Improvement of Perioperative Infection Control Program,Not yet recruiting,,All,"18 Years to 120 Years   (Adult, Older Adult)",,9.0,"July 1, 2020",2020-08-31,"June 23, 2020",,https://ClinicalTrials.gov/show/NCT04443803,Undefined,,8.0,2020,Monday
502,503,Prophylactic Benefit of Hydroxychloroquine in COVID-19 Cases With Mild to Moderate Symptoms and in Healthcare Workers With High Exposure Risk,Withdrawn,Drug: Hydroxychloroquine Sulfate,All,"18 Months to 85 Years   (Child, Adult, Older Adult)",Not Applicable,0.0,June 2020,2021-07-01,"June 4, 2020",,https://ClinicalTrials.gov/show/NCT04371926,Undefined,Hydroxychloroquine Sulfate,7.0,2021,Thursday
503,504,"Coronavirus Disease 2019 (COVID-19) During Pregnancy: Prevalence of Seroconversion, Effect on Maternal and Perinatal Outcomes and Risk of Vertical Transmission (COVID-MAP)",Recruiting,Other: Non Intervention,Female,"18 Years and older   (Adult, Older Adult)",,3000.0,"May 1, 2020",2022-12-31,"July 21, 2020","Peking University First Hospital, Beijing, Beijing, China|Kwong Wah Hospital, Hong Kong, Hong Kong|Pamela Youde Nethersole Eastern Hospital, Hong Kong, Hong Kong|Princess Margaret Hospital, Hong Kong, Hong Kong|Queen Elizabeth Hospital, Hong Kong, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|The Chinese University of Hong Kong, Prince of Wales Hospital, Hong Kong, Hong Kong|Tuen Mun Hospital, Hong Kong, Hong Kong|United Christian Hospital, Hong Kong, Hong Kong|Hospital Universitario de Torrejón, Torrejón De Ardoz, Madrid, Spain",https://ClinicalTrials.gov/show/NCT04465474,China,,12.0,2022,Saturday
504,505,The Use PUL-042 to Reduce the Infection Rate and Progression to COVID-19 in Adults Exposed to SARS-CoV-2,Recruiting,Drug: PUL-042 Inhalation Solution|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,200.0,"June 9, 2020",2021-03-01,"October 19, 2020","University of California Irvine, Orange, California, United States|Premier Urgent Care of California, San Bernardino, California, United States|Clinical Research of South Florida Alliance for Multispecialty Research, Coral Gables, Florida, United States|Invesclinic US LLC, Fort Lauderdale, Florida, United States|Clinical Research Atlanta, Stockbridge, Georgia, United States|Willis-Knighton Physcian Network, Bossier City, Louisiana, United States|Englewood Health, Englewood, New Jersey, United States|Ascension St John, Bartlesville, Oklahoma, United States|Ascension St. John, Tulsa, Oklahoma, United States|MD Anderson Cancer Center, Houston, Texas, United States|Next Level Urgent Care, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04313023,Georgia,PUL-042 Inhalation Solution|Placebo,3.0,2021,Monday
505,506,Safety and Efficacy Study of Allogeneic Human Dental Pulp Mesenchymal Stem Cells to Treat Severe COVID-19 Patients,Recruiting,Biological: allogeneic human dental pulp stem cells (BSH BTC & Utooth BTC)|Other: Intravenous saline injection (Placebo),All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,20.0,"April 6, 2020",2021-03-31,"April 7, 2020","Renmin Hospital of Wuhan University (East Campus), Wuhan, Hubei, China",https://ClinicalTrials.gov/show/NCT04336254,China,,3.0,2021,Wednesday
506,507,Study to Evaluate the Efficacy and Safety of Remdesivir (GS-5734™) Treatment of Coronavirus Disease 2019 (COVID-19) in an Outpatient Setting,Recruiting,Drug: RDV|Drug: Placebo to Match RDV,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,1264.0,"September 18, 2020",2021-01-01,"December 10, 2020","Arizona Liver Health, Chandler, Arizona, United States|Arizona Clinical Trials, Tucson, Arizona, United States|St Joseph Hospital Eureka, Eureka, California, United States|St. Joseph Heritage Healthcare, Fullerton, California, United States|Ruane Clinical Research Group, Los Angeles, California, United States|Mills Clinical Research, Los Angeles, California, United States|UC Davis Health, Sacramento, California, United States|St. Joseph Heritage Healthcare, Santa Rosa, California, United States|Centura Health Porter Place, Denver, Colorado, United States|Midland Florida Clinical Research Center, LLC, DeLand, Florida, United States|Lawnwood Regional Medical Center, Fort Pierce, Florida, United States|Encore Medical Research, Hollywood, Florida, United States|Advanced Pulmonary Research Institute, Loxahatchee Groves, Florida, United States|CTMD Research, Inc, Palm Springs, Florida, United States|IMIC Inc, Palmetto Bay, Florida, United States|St. Josephs Comprehensive Research Institute, Tampa, Florida, United States|AIDS Research and Treatment Center of the Treasure Coast, Vero Beach, Florida, United States|Triple O Research Institute PA, West Palm Beach, Florida, United States|Agile Clinical Research Trials, Atlanta, Georgia, United States|Metro Infectious Disease Consultants, Burr Ridge, Illinois, United States|Be Well Medical Center, Berkley, Michigan, United States|Memorial Hospital of Gulfport, Gulfport, Mississippi, United States|Quality Clinical Research Inc., Omaha, Nebraska, United States|AB Clinical Trials, Las Vegas, Nevada, United States|New York Presbyterian Hospital, Flushing, New York, United States|Nuvance Health, Lagrangeville, New York, United States|Northwell Health, New Hyde Park, New York, United States|Atrium Health Carolinas Medical Center, Charlotte, North Carolina, United States|East Carolina University, Greenville, North Carolina, United States|Rosedale Infectious Diseases, Huntersville, North Carolina, United States|Christ Hospital, Cincinnati, Ohio, United States|Cherokee Nation WW Hastings Hospital, Tahlequah, Oklahoma, United States|Central Texas Clinical Research, Austin, Texas, United States|Baylor University Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center, Dallas, Texas, United States|Care United Research, LLC, Forney, Texas, United States|University of Texas, Houston, Texas, United States|The Crofoot Research Center, Inc, Houston, Texas, United States|Laguna Clinical Research Associates, Laredo, Texas, United States|Diagnostic Clinic of Longview - Center for Clinical Research, Longview, Texas, United States|Sugar Lakes Family Practice, Sugar Land, Texas, United States|Intermountain Healthcare, Murray, Utah, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|Hvidovre Hospital, Hvidovre, Denmark",https://ClinicalTrials.gov/show/NCT04501952,Denmark,RDV|Placebo to Match RDV,1.0,2021,Friday
507,508,"Clinical Trial of Combined Use of Hydroxychloroquine, Azithromycin, and Tocilizumab for the Treatment of COVID-19",Recruiting,Drug: Tocilizumab|Drug: Hydroxychloroquine|Drug: Azithromycin,All,"18 Years and older   (Adult, Older Adult)",Phase 2,276.0,"April 2, 2020",2020-10-01,"April 7, 2020","Hospital de la Santa Creu i Sant Pau, Barcelona, Spain",https://ClinicalTrials.gov/show/NCT04332094,Spain,Tocilizumab|Hydroxychloroquine|Azithromycin,10.0,2020,Thursday
508,509,Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),Completed,Drug: Remdesivir|Drug: Standard of Care,All,"12 Years and older   (Child, Adult, Older Adult)",Phase 3,4891.0,"March 6, 2020",2020-06-30,"July 27, 2020","Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue, Anaheim, California, United States|Alta Bates Summit Medical Center, Berkeley, California, United States|Mills-Peninsula Medical Center, Burlingame, California, United States|Eden Medical Center, Castro Valley, California, United States|Kaiser Permanente Los Angeles Medical Center, 9333 Imperial Highway, Downey, California, United States|Kaiser Permanente Los Angeles Medical Center, 9961 Sierra Ave, Fontana, California, United States|St Joseph Hospital Eureka, Fortuna, California, United States|Kaiser Permanente Los Angeles Medical Center, 25825 S. Vermont Ave., Harbor City, California, United States|Kaiser Permanente Los Angeles Medical Center, Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 6041 Cadillac Ave., Los Angeles, California, United States|Kaiser Permanente Los Angeles Medical Center, 5601 De Soto Avenue, Los Angeles, California, United States|Mission Hospital Regional Medical Center, Mission Viejo, California, United States|Kaiser Permanente Los Angeles Medical Center, 27300 Iris Avenue, Moreno Valley, California, United States|El Camino Hospital, Mountain View, California, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States|Kaiser Permanente Oakland Medical Center, Oakland, California, United States|Kaiser Permanente Los Angeles Medical Center, 2295 S. Vineyard Avenue, Ontario, California, United States|The Center for Cancer Prevention and Treatment at St. Joseph Hospital of Orange, Orange, California, United States|Kaiser Permanente Los Angeles Medical Center, 13651 Willard Street, Panorama City, California, United States|Kaiser Permanente Los Angeles Medical Center, 10800 Magnolia Avenue, Riverside, California, United States|Sutter Medical Center Sacramento, One Medical Plaza, Roseville, California, United States|Sutter Medical Center Sacramento, Sacramento, California, United States|Kaiser Permanente Los Angeles Medical Center, 4647 Zion Avenue, San Diego, California, United States|Kaiser Permanente Los Angeles Medical Center, 9455 Clairemont Mesa Blvd, San Diego, California, United States|Kaiser Permanente Oakland Medical Center, 1200 El Camino Real, San Francisco, California, United States|California Pacific Medical Center-Infectious Disease Associates Medical Group, San Francisco, California, United States|Kaiser Permanente Oakland Medical Center, 2425 Geary Blvd, San Francisco, California, United States|Kaiser Permanente Oakland Medical Center, 250 Hospital Parkway, Suite 850, San Jose, California, United States|Kaiser Permanente Oakland Medical Center, 2500 Merced St, San Leandro, California, United States|Kaiser Permanente Oakland Medical Center, 700 Lawrence Expressway, Santa Clara, California, United States|Providence St. Johns Medical Center, Santa Monica, California, United States|Sutter Santa Rosa Regional Hospital, Santa Rosa, California, United States|Stanford Hospital, Stanford, California, United States|University of Colorado Denver, University of Colorado Hospital, Aurora, Colorado, United States|SCL Health St. Joseph Hospital, 1375 East 19th Ave, Denver, Colorado, United States|SCL Health St. Joseph Hospital, Denver, Colorado, United States|Rose Medical Center, Denver, Colorado, United States|SCL Health St. Joseph Hospital, 200 Exempla Circle., Lafayette, Colorado, United States|Yale-New Haven Hospital, New Haven, Connecticut, United States|Kaiser Permanente Hawaii Moanalua Medical Center, Honolulu, Hawaii, United States|John H. Stroger Jr. Hospital of Cook County, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|IU Health Methodist Hospital, Indianapolis, Indiana, United States|University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States|Tulane University, New Orleans, Louisiana, United States|Maine Medical Center, Portland, Maine, United States|Holy Cross Hospital, Silver Spring, Maryland, United States|Tufts Medical Center, Boston, Massachusetts, United States|Brigham & Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|The University of Michigan Hospitals and Health Systems, Ann Arbor, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Hennepin Healthcare, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Providence St Patrick Hospital and International Heart Institute of MT Foundation, Missoula, Montana, United States|Darmouth-Hitchhock Medical Center, Lebanon, New Hampshire, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, Hillsborough, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, 1 RWJ Place, New Brunswick, New Jersey, United States|Robert Wood Johnson University Hospital Somerset, 201 Lyons Avenue, Newark, New Jersey, United States|St. Joseph's University Medical Center, Paterson, New Jersey, United States|Jacobi Medical Center, Bronx, New York, United States|James J. Peters Veterans Administration Medical Center, Bronx, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|Danbury Hospital, Lagrangeville, New York, United States|North Shore University Hospital, Manhasset, New York, United States|North Shore University Hospital, 270-05 76th Ave, New Hyde Park, New York, United States|Icahn School of Medicine at Mount Sinai, 350 East 17th Street, New York, New York, United States|Icahn School of Medicine at Mount Sinai, 1000 10th Avenue, New York, New York, United States|Icahn School of Medicine at Mount Sinai, 440 West 114th St., New York, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Columbia University Medical Center-New York Presbyterian Hospital, New York, New York, United States|New York Presbyterian Hospital/Weill Cornell Medical Center, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Kaiser Sunnyside Medical Center, 2875 NW Stucki Ave, Hillsboro, Oregon, United States|Providence Portland Medical Center, Portland, Oregon, United States|Providence St. Vincent Medical Center, Portland, Oregon, United States|Kaiser Sunnyside Medical Center, Portland, Oregon, United States|Hospital of the University of Pennsylvania, 51 N. 31st Street, Philadelphia, Pennsylvania, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|The Miriam Hospital, Providence, Rhode Island, United States|Prisma Health Richland Hospital, Columbia, South Carolina, United States|Prisma Health Richland Hospital, 701 Grove Road, Greenville, South Carolina, United States|The Liver Institute of Methodist Dallas Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, Dallas, Texas, United States|Baylor University Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 5201 Harry Hines Blvd., Dallas, Texas, United States|UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 6201 Harry Hines Blvd, Dallas, Texas, United States|Baylor University Medical Center, 1400 8th Ave, Fort Worth, Texas, United States|Houston Methodist Hospital, Houston, Texas, United States|Baylor University Medical Center, 2401 S. 31st St., Temple, Texas, United States|University of Utah Health, Salt Lake City, Utah, United States|Virginia Hospital Center, Arlington, Virginia, United States|Inova Fairfax Medical Campus, Falls Church, Virginia, United States|VCU Health Medical Center, Richmond, Virginia, United States|Providence Regional Medical Center Everett, Everett, Washington, United States|Kadlec Regional Medical Center, Kennewick, Washington, United States|Providence St. Peter Hospital, Olympia, Washington, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Swedish Center for Comprehensive Care, Seattle, Washington, United States|MultiCare Deaconess Hospital, Spokane, Washington, United States|MultiCare Tacoma General Hospital, Tacoma, Washington, United States|St Joseph Medical Center, Tacoma, Washington, United States|The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, China|CHU Pellegrin, Bordeaux, France|CHU de Montpellier-Hopital Gui de Chauliac, Montpelier Cedex 5, France|CHU de Nantes-Hotel Dieu, Nantes, France|Hopital Saint-Louis, Paris, France|Hopital Saint Antoine, Paris, France|Charite Universitatsmedizin Berlin, Campus Virchow-Klinikum, Medizinische Klinik Infektiologie Pneumologie, Berlin, Germany|Universitatsklinikum Dusseldorf, Klinik fur Gastroenterologie, Hepatologie und Infektiologie, Düsseldorf, Germany|Universitatsklinikum Hamburg-Eppendorf, Hamburg, Germany|Universitätsklinikum Schleswig-Holstein Campus Kiel, Kiel, Germany|Klinikum St. Georg gGmbH Klinik fur Infektiologie, Tropenmedizin, Nephrologie und Rheumatologie, Leipzig, Germany|Klinikum rechts der Isar der TU Munchen, Klinik und Poliklinik Innere Medizin 2, Munich, Germany|Klinik für Hämatologie, Onkologie, Immunologie, München, Germany|Robert-Bosch-Krankenhaus (RBK), Klinik Schillerhohe (KSH) und Dr. Margarete Fischer-Bosch-Institut fur klinische Pharmakologie (IKP), Stuttgart, Germany|Prince of Wales Hospital, Hong Kong, Hong Kong|Princess Margaret Hospital, Hong Kong, Hong Kong|Queen Mary Hospital, Hong Kong, Hong Kong|UOC Malattie Infettive, ASST Papa Giovanni XXIII, Bergamo, Italy|ASST degli Spedali Civili di Brescia, Brescia, Italy|ASST di Cremona - Azienda Socio Sanitaria Territor, Cremona, Italy|UOC Malattie Infettive, IRCCS Ospedale San Raffaele, Milano, Italy|Dipartimento di Malattie Infettive, Malattie Infettive I- Malattie Infettive III, AssT Fatebenefratelli Sacco Ospedale Luigi Sacco, Milano, Italy|UO Malattie Infettive, Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico, Milan, Italy|UOC Medicina Di Laboratorio, Azienda Ospedaliera di Padova, Padova PD, Italy|Azienda Ospedaliero Universitaria di Parma, Parma, Italy|UOC Malattie Infettive I, Fondazione IRCCS Policlinio San Matteo, Pavia, Italy|Ospedale Guglielmo da Saliceto AUSL di Piacenza, Piacenza, Italy|UOC Malattie Infettive ad Alta Intensita di Cure, Istituto Nazionale Malattie Infettive Lazzaro Spallanzani I.R.C.C.S., Roma, Italy|Clinica Universitaria Malattie Infettive, Ospedale Amedeo di Savoia, Torino, Italy|Yokohama Municipal Citizen's Hospital, Kanagawa, Japan|Nagoya City East Medical Center, Nagoya, Japan|Tokyo Metropolitan Bokutoh Hospital, Tokyo, Japan|Kyungpook National University Hospital, Daegu, Korea, Republic of|Seoul Medical Center, Seoul, Korea, Republic of|National Medical Center, Seoul, Korea, Republic of|Amsterdam University Medical Centre - Location AMC, Amsterdam, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Erasmus Medical Centre, Rotterdam, Netherlands|National University Hospital, Singapore, Singapore|Singapore General Hospital, Singapore, Singapore|National Centre for Infectious Diseases, Tan Tock Seng Hospital, Singapore, Singapore|Hospital Principe de Asturias, Alcalá De Henares, Madrid, Spain|Complejo Hospitalario Universitario A Coruña, A Coruña, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Universitari de Bellvitge, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario Cruces, Bizkaia, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Hospital Universitario Virgen del Rocio, Sevilla, Spain|Sahlgrenska University Hospital, Ostra, Gothenburg, Sweden|SUS (Skanes University Hospital), Malmo, Sweden|Karolinska University Hospital, Stockholm, Sweden|Hopitaux Universitaires de Genève, Genève 14, Switzerland|Ospedale Regionale di Locarno La Carità, Lugano, Switzerland|Universitätsspital Zürich, Zürich, Switzerland|Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan|China Medical University Hospital, Taichung, Taiwan|National Taiwan University Hospital, Taipei City, Taiwan|Imperial College Healthcare NHS Trust, London, Greater London, United Kingdom|Royal Infirmary of Edinburgh, Edinburgh, United Kingdom|Queen Elizabeth University Hospital, Glasgow, United Kingdom|Hull University Teaching Hospitals NHS Trust, Hull, United Kingdom|Royal Lancaster Hospital, Lancaster, United Kingdom|Liverpool University Hospital, Liverpool, United Kingdom|Northwick Park Hospital, London, United Kingdom|Royal Free London NHS Foundation Trust, London, United Kingdom|King's College Hospital NHS Trust, London, United Kingdom|University College London, London, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom|Manchester University NHS Foundation Trust, Manchester, United Kingdom|Pennine Acute Hospitals NHS Trust, Manchester, United Kingdom|Derriford Hospital, Plymouth, United Kingdom|Sheffield Teaching Hospitals, Sheffield, United Kingdom",https://ClinicalTrials.gov/show/NCT04292899,China,Remdesivir|Standard of Care,6.0,2020,Tuesday
509,510,"Efficacy and Safety of Mucoadhesive Sustained Release, Mucodentol, in Comparison With Hydroxychloroquine to Prevent COVID-19",Recruiting,Drug: Hydroxychloroquine|Drug: Mucodentol|Device: Personal protective equipment,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,180.0,"July 15, 2020",2020-12-15,"July 10, 2020","Mohammad Sadegh Bagheri Baghdasht, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04466280,"Iran, Islamic Republic of",Hydroxychloroquine|Mucodentol,12.0,2020,Tuesday
510,511,Clinical Trial of Efficacy and Safety of Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine in Healthcare Professionals,Recruiting,Biological: Adsorbed COVID-19 (inactivated) Vaccine|Biological: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,13060.0,"July 21, 2020",2021-10-01,"December 11, 2020","Universidade de Brasília, Brasilia, DF, Brazil|Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil|Hospital Universitário Júlio Müller, Cuiabá, Mount, Brazil|Hospital Universitário Maria Aparecida Pedrossian, Campo Grande, MS, Brazil|Hospital das Clínicas da Universidade Federal do Paraná, Curitiba, PR, Brazil|Hospital Escola da Universidade Federal de Pelotas, Pelotas, RS, Brazil|Hospital São Lucas da Pontificia Universidade Catolica do Rio Grande do Sul, Porto Alegre, RS, Brazil|Hospital de Amor - Fundação Pio XII, Barretos, SP, Brazil|Hospital das Clínicas da UNICAMP, Campinas, SP, Brazil|Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo, Ribeirao Preto, SP, Brazil|Instituto de Infectologia Emílio Ribas, Sao Paulo, SP, Brazil|Centro de Pesquisas Clínicas do Instituto Central do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, Sao Paulo, SP, Brazil|Instituto Israelita de Ensino e Pesquisa Albert Einstein, Sao Paulo, SP, Brazil|Universidade Municipal de São Caetano do Sul, São Caetano do Sul, SP, Brazil|Faculdade de Medicina de São José do Rio Preto - FAMERP, São José Do Rio Preto, São Paulo, Brazil|Instituto de Infectologia Evandro Chagas - Fiocruz, Rio De Janeiro, Brazil",https://ClinicalTrials.gov/show/NCT04456595,Brazil,,10.0,2021,Friday
511,512,Efficacy of Pre-exposure Treatment With Hydroxy-Chloroquine on the Risk and Severity of COVID-19 Infection,Recruiting,Diagnostic Test: COVID 19 serology|Other: COVID 19 Self-Questionnaire,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,800.0,"September 9, 2020",2021-09-01,"November 12, 2020","Limoges university Hospital, Limoges, France|Montpellier University Hospital, Montpellier, France|Pitié Salpêtrière Hospital - Hépatologie, Paris, France|Pitié Salpêtrière Hospital - Médecine interne, Paris, France|Haut-Lévêque Hospital - Gastro-entérologie, Pessac, France|Haut-Lévêque Hospital - Médecine interne, Pessac, France|Joseph Ducuing Hospital - Médecine interne, Toulouse, France|Toulouse university Hospital - Larrey Dermatologie, Toulouse, France|Toulouse University Hospital - Rhumatologie, Toulouse, France|Toulouse University Hospital, Toulouse, France|University Hospital of Toulouse - Rangueil Médecine interne, Toulouse, France|University hospital Toulouse - Purpan Médecine interne, Toulouse, France",https://ClinicalTrials.gov/show/NCT04481633,France,,9.0,2021,Wednesday
512,513,#StayHome: Early Hydroxychloroquine to Reduce Secondary Hospitalisation and Household Transmission in COVID-19,Not yet recruiting,Drug: Hydroxychloroquine|Drug: Mannitol,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,800.0,"May 12, 2020",2020-10-01,"May 12, 2020","Unisanté, Lausanne, Vaud, Switzerland",https://ClinicalTrials.gov/show/NCT04385264,Switzerland,Hydroxychloroquine|Mannitol,10.0,2020,Thursday
513,514,Hydroxychloroquine and Zinc With Either Azithromycin or Doxycycline for Treatment of COVID-19 in Outpatient Setting,Completed,Drug: Hydroxychloroquine|Drug: Azithromycin|Drug: Zinc Sulfate|Drug: Doxycycline,All,"30 Years and older   (Adult, Older Adult)",Phase 4,18.0,"April 28, 2020",2020-09-30,"December 9, 2020","St Francis Hospital, Roslyn, New York, United States",https://ClinicalTrials.gov/show/NCT04370782,United States,Hydroxychloroquine|Azithromycin|Zinc Sulfate|Doxycycline,9.0,2020,Wednesday
514,515,The Use of PUL-042 Inhalation Solution to Reduce the Severity of COVID-19 in Adults Positive for SARS-CoV-2 Infection,Recruiting,Drug: PUL-042 Inhalation Solution|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"June 16, 2020",2021-03-01,"October 19, 2020","University of California Irvine, Orange, California, United States|Premeir Urgent Care of California, San Bernardino, California, United States|Clinical Research of South Florida Alliance for Multispecialty Research, Coral Gables, Florida, United States|Invesclinic US LLC, Fort Lauderdale, Florida, United States|DBC Research Corp., Tamarac, Florida, United States|St. Elizabeth Healthcare, Edgewood, Kentucky, United States|Ascension St. John, Bartlesville, Oklahoma, United States|Ascension St. John, Tulsa, Oklahoma, United States|MD Anderson Cancer Center, Houston, Texas, United States|Next Level Urgent Care, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04312997,United States,PUL-042 Inhalation Solution|Placebo,3.0,2021,Monday
515,516,"Study in Participants With Early Stage Coronavirus Disease 2019 (COVID-19) to Evaluate the Safety, Efficacy, and Pharmacokinetics of Remdesivir Administered by Inhalation",Recruiting,Drug: Remdesivir (RDV)|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,282.0,"September 14, 2020",2021-04-01,"December 9, 2020","The Institute for Liver Health, Mesa, Arizona, United States|The Institute for Liver Health, Tucson, Arizona, United States|Saint Josephs Clinical Research, Anaheim, California, United States|Franco Felizarta, MD, Bakersfield, California, United States|Aurora FDRC Inc., Costa Mesa, California, United States|Elevated Health, Huntington Beach, California, United States|Western Clinical Research, Placentia, California, United States|Bradenton Research Center, Inc., Bradenton, Florida, United States|Westchester Research Center at Westchester General Hospital, Miami, Florida, United States|IMIC Inc, Palmetto Bay, Florida, United States|Triple O Research Institute, PA, West Palm Beach, Florida, United States|Family Care Research, Boise, Idaho, United States|CTU Covid Research Center, New Orleans, Louisiana, United States|STAT Research, Vandalia, Ohio, United States|Baylor Research Institute, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT04539262,United States,Remdesivir (RDV)|Placebo,4.0,2021,Thursday
516,517,"Evaluating the Safety, Tolerability and Immunogenicity of bacTRL-Spike Vaccine for Prevention of COVID-19",Recruiting,Biological: bacTRL-Spike,All,"18 Years and older   (Adult, Older Adult)",Phase 1,12.0,October 2020,2022-02-28,"October 27, 2020","Nucleus Network Pty Ltd (Trading as Centre for Clinical Studies), Melbourne, Victoria, Australia",https://ClinicalTrials.gov/show/NCT04334980,Australia,,2.0,2022,Monday
517,518,Study to Assess the Safety of Ascending Doses of UNI911 INHALATION in Healthy Volunteers in Preparation for Evaluation in Adults With COVID-19,Recruiting,Drug: UNI911 INHALATION,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,44.0,"June 29, 2020",2020-12-31,"October 6, 2020","DanTrials, Copenhagen, Denmark",https://ClinicalTrials.gov/show/NCT04576312,Denmark,UNI911 INHALATION,12.0,2020,Thursday
518,519,Tetrandrine Tablets Used in the Treatment of COVID-19,Enrolling by invitation,Drug: Tetrandrine,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 4,60.0,"March 5, 2020",2021-05-01,"March 16, 2020","Tetrandrine Tablets, Jinhua, Zhejiang, China",https://ClinicalTrials.gov/show/NCT04308317,China,Tetrandrine,5.0,2021,Saturday
519,520,A Study of the Safety and Efficacy of Ciclesonide in the Treatment of Non-hospitalized COVID-19 Patients,Recruiting,Drug: Ciclesonide|Drug: Placebo,All,"12 Years to 100 Years   (Child, Adult, Older Adult)",Phase 3,400.0,"June 8, 2020",2020-12-01,"June 11, 2020","University of Buffalo, Buffalo, New York, United States",https://ClinicalTrials.gov/show/NCT04377711,United States,Ciclesonide|Placebo,12.0,2020,Tuesday
520,521,Efficacy and Safety of Nitazoxanide for the Treatment of Hospitalized Patients With Moderate COVID-19,Recruiting,Drug: Nitazoxanide Tablets|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50.0,"May 25, 2020",2020-07-31,"June 9, 2020","Hospital Vera Cruz, Campinas, São Paulo, Brazil|Centro de Genomas, São Paulo, Brazil|Hospital Emílio Ribas, São Paulo, Brazil",https://ClinicalTrials.gov/show/NCT04348409,Brazil,Nitazoxanide Tablets|Placebo,7.0,2020,Friday
