,Unnamed: 0,Title,Status,Interventions,Gender,Age,Phases,Enrollment,Start Date,Completion Date,Locations,URL
214,214,Treatment of Angiotensin Peptide (1-7) for COVID-19,Recruiting,Biological: Biological/Vaccine: Angiotensin peptide (1-7) derived plasma,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,20.0,"April 25, 2020","September 30, 2020",Turkey,https://ClinicalTrials.gov/show/NCT04375124
215,215,Bicalutamide to Block TMPRSS2 in Males With COVID-19 Infection,Recruiting,Drug: Bicalutamide 150 Mg Oral Tablet|Drug: Placebo,Male,"18 Years to 99 Years   (Adult, Older Adult)",Phase 3,100.0,"October 26, 2020",September 2022,United States,https://ClinicalTrials.gov/show/NCT04509999
216,216,Cyclosporine in Patients With Moderate COVID-19,Recruiting,Drug: Cyclosporine,All,"18 Years and older   (Adult, Older Adult)",Phase 1,20.0,"June 30, 2020",December 2021,United States,https://ClinicalTrials.gov/show/NCT04412785
217,217,Effect of Quercetin on Prophylaxis and Treatment of COVID-19,Recruiting,Dietary Supplement: Quercetin Prophylaxis|Dietary Supplement: Quercetin Treatment,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50.0,"March 20, 2020","August 31, 2020",Turkey,https://ClinicalTrials.gov/show/NCT04377789
218,218,IRAK4 Inhibition in Treatment of COVID-19 With ARDS (I-RAMIC),Recruiting,Drug: PF-06650833|Drug: Placebo,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,68.0,"November 30, 2020","March 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04575610
219,219,High Dose Inhaled Nitric Oxide for COVID-19 (ICU Patients),Recruiting,Drug: Nitric Oxide,All,"18 Years and older   (Adult, Older Adult)",Phase 1,20.0,"September 2, 2020",December 2020,Canada,https://ClinicalTrials.gov/show/NCT04383002
220,220,PRevention of COVID-19 With Oral Vitamin D Supplemental Therapy in Essential healthCare Teams,Not yet recruiting,Dietary Supplement: Placebo|Dietary Supplement: Vitamin D,All,"18 Years to 69 Years   (Adult, Older Adult)",Phase 3,2414.0,"November 30, 2020","June 30, 2021",Canada,https://ClinicalTrials.gov/show/NCT04483635
221,221,Ozone Auto-hemotherapy for COVID-19 Pneumonia,Not yet recruiting,Biological: Ozone auto-hemotherapy,All,"18 Years to 90 Years   (Adult, Older Adult)",Phase 3,208.0,"May 25, 2020","December 25, 2020",Spain,https://ClinicalTrials.gov/show/NCT04370223
222,222,A Study of LAM-002A for the Prevention of Progression of COVID-19,Recruiting,Drug: Apilimod Dimesylate Capsule|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,142.0,"July 15, 2020","April 30, 2021",United States,https://ClinicalTrials.gov/show/NCT04446377
223,223,"Chronic Lung Disease and COVID-19: Understanding Severity, Recovery and Rehabilitation Needs",Not yet recruiting,Other: Rehabilitation-focused program,All,"18 Years to 89 Years   (Adult, Older Adult)",Not Applicable,506.0,"November 1, 2021","October 31, 2024",United States,https://ClinicalTrials.gov/show/NCT04628039
224,224,Prone Positioning on Admission for Hospitalized COVID-19 Pneumonia Protocol,Recruiting,Other: Prone Positioning|Other: Supine Positioning,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,"July 13, 2020",December 2020,United States,https://ClinicalTrials.gov/show/NCT04424797
225,225,Probe-based Confocal Laser Endomicroscopy in Critically Ill COVID-19 Patients,Recruiting,Device: miniprobe Alveoflex,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,15.0,"August 1, 2020","September 1, 2021",Russian Federation,https://ClinicalTrials.gov/show/NCT04451889
226,226,Ramipril for the Treatment of COVID-19,Enrolling by invitation,Drug: Ramipril 2.5 MG Oral Capsule|Drug: Placebo oral capsule,All,"18 Years and older   (Adult, Older Adult)",Phase 2,560.0,"May 11, 2020",May 2021,United States,https://ClinicalTrials.gov/show/NCT04366050
227,227,Comparison of Two Different Doses of Bemiparin in COVID-19,Recruiting,Drug: Bemiparin sodium,All,"18 Years and older   (Adult, Older Adult)",Phase 3,164.0,"October 26, 2020","July 31, 2021",Spain,https://ClinicalTrials.gov/show/NCT04604327
228,228,Mesenchymal Stem Cell Infusion for COVID-19 Infection,Recruiting,Drug: Mesenchymal stem cells|Other: Placebo,All,"10 Years and older   (Child, Adult, Older Adult)",Phase 2,20.0,"May 1, 2020","September 30, 2020",Pakistan,https://ClinicalTrials.gov/show/NCT04444271
229,229,Sirolimus Treatment in Hospitalized Patients With COVID-19 Pneumonia,Recruiting,Drug: Sirolimus|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,30.0,"April 24, 2020",September 2020,United States,https://ClinicalTrials.gov/show/NCT04341675
230,230,Early Use of Corticosteroids in Non-critical Patients With COVID-19 Pneumonia,Recruiting,Drug: Prednisone,All,"18 Years to 90 Years   (Adult, Older Adult)",Phase 3,184.0,"June 23, 2020","December 30, 2020",Chile,https://ClinicalTrials.gov/show/NCT04451174
231,231,Trial of Imatinib for Hospitalized Adults With COVID-19,Recruiting,Drug: Imatinib|Drug: Placebo oral tablet,All,"18 Years and older   (Adult, Older Adult)",Phase 3,204.0,"June 2, 2020","June 1, 2023",United States,https://ClinicalTrials.gov/show/NCT04394416
232,232,The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine),Terminated,Drug: Hydroxychloroquine Sulfate 400 mg twice a day|Drug: Hydroxychloroquine Sulfate 600 mg twice a day|Drug: Hydroxychloroquine Sulfate 600 mg once a day|Drug: Placebo oral tablet,All,"18 Years and older   (Adult, Older Adult)",Phase 2,173.0,"April 9, 2020","November 13, 2020",United States,https://ClinicalTrials.gov/show/NCT04329923
233,233,COVID-19 Convalescent Plasma for the Treatment of Hospitalized Patients With Pneumonia Caused by SARS-CoV-2.,Recruiting,Biological: COVID-19 Convalescent Plasma,All,"18 Years and older   (Adult, Older Adult)",Phase 1,80.0,"May 13, 2020","June 30, 2021",United States,https://ClinicalTrials.gov/show/NCT04397757
234,234,Low-dose Lenalidomide for Non-severe COVID-19 Treatment Trial,Not yet recruiting,"Drug: Lenalidomide as a 5 mg capsule PO daily, days 1, 3, and 5.|Drug: Placebo",All,"60 Years and older   (Adult, Older Adult)",Phase 4,120.0,"October 27, 2020","December 31, 2021",Spain,https://ClinicalTrials.gov/show/NCT04361643
235,235,Desidustat in the Management of COVID-19 Patients,Recruiting,Drug: Desidustat|Other: Standard of Care,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24.0,"July 25, 2020","January 30, 2021",Mexico,https://ClinicalTrials.gov/show/NCT04463602
236,236,Chloroquine for Mild Symptomatic and Asymptomatic COVID-19,Terminated,Drug: chloroquine|Other: standard care,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,5.0,"June 1, 2020","September 1, 2020",Israel,https://ClinicalTrials.gov/show/NCT04333628
237,237,Trial of Tocilizumab for Treatment of Severe COVID-19: ARCHITECTS,Recruiting,Drug: Tocilizumab|Drug: Placebo,All,"18 Years to 95 Years   (Adult, Older Adult)",Phase 3,300.0,"June 12, 2020","December 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04412772
238,238,Pulmonary Rehabilitation in Post-Acute Period of COVID-19 Infection,Completed,Other: Rehabilitation,All,28 Years to 45 Years   (Adult),Not Applicable,270.0,"March 11, 2020","April 26, 2020",Turkey,https://ClinicalTrials.gov/show/NCT04365738
239,239,Trial of Early Therapies During Non-hospitalized Outpatient Window for COVID-19,Recruiting,Drug: Lopinavir/Ritonavir 400 mg/100 mg|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,600.0,"June 1, 2020","May 1, 2021",Israel,https://ClinicalTrials.gov/show/NCT04372628
240,240,Aerosoliserat DNase for Treatment of Respiratory Failure in Severe COVID-19,Recruiting,Drug: aerosolized DNase|Drug: NaCl,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"June 4, 2020","December 1, 2020",Sweden,https://ClinicalTrials.gov/show/NCT04541979
241,241,Neuromodulation With Percutaneous Electrical Nerve Field Stimulation for Adults With COVID-19,Recruiting,Device: Auricular percutaneous neurostimulation,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,"July 13, 2020","July 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04514627
242,242,A Study of Baricitinib (LY3009104) in Participants With COVID-19,Recruiting,Drug: Baricitinib|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,1400.0,"September 7, 2019","June 20, 2021",Argentina,https://ClinicalTrials.gov/show/NCT04421027
243,243,Study to Evaluate the Safety and Efficacy of High Dose Intravenous Immune Globulin (IVIG) Plus Standard Medical Treatment (SMT) Versus SMT Alone in Participants in Intensive Care Unit (ICU) With Coronavirus Disease (COVID-19),Recruiting,Biological: GAMUNEX-C|Drug: Standard Medical Treatment,All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,"September 17, 2020",May 2021,United States,https://ClinicalTrials.gov/show/NCT04480424
244,244,Treatment of COVID-19 Cases and Chemoprophylaxis of Contacts as Prevention,Completed,Drug: Treatment and prophylaxis|Other: Standard Public Health measures,All,"18 Years and older   (Adult, Older Adult)",Phase 3,2300.0,"March 18, 2020","June 15, 2020",Spain,https://ClinicalTrials.gov/show/NCT04304053
245,245,Hydroxychloroquine in Combination With Azithromycin or Sirolimus for Treating COVID-19 Patients,Not yet recruiting,Drug: HCQ & AZ vs HCQ+SIR,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,58.0,"May 1, 2020","September 1, 2020",Jordan,https://ClinicalTrials.gov/show/NCT04374903
246,246,Colchicine to Reduce Cardiac Injury in COVID-19 (COLHEART-19),Recruiting,Drug: Colchicine Tablets|Other: Current care per UCLA treating physicians,All,"18 Years and older   (Adult, Older Adult)",Phase 2,150.0,"May 1, 2020","April 25, 2021",United States,https://ClinicalTrials.gov/show/NCT04355143
247,247,Coagulopathy of COVID-19: A Pragmatic Randomized Controlled Trial of Therapeutic Anticoagulation Versus Standard Care,Recruiting,Drug: Therapeutic Anticoagulation,All,"18 Years and older   (Adult, Older Adult)",Phase 3,462.0,"May 11, 2020",December 2020,Canada,https://ClinicalTrials.gov/show/NCT04362085
248,248,Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19),Recruiting,Diagnostic Test: diagnostic tests for COVID-19 infection,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,100.0,"May 8, 2020",June 2021,United States,https://ClinicalTrials.gov/show/NCT04372004
249,249,High-dose Hydroxychloroquine for the Treatment of Ambulatory Patients With Mild COVID-19,Recruiting,Drug: Hydroxychloroquine,All,"18 Years and older   (Adult, Older Adult)",Phase 1,20.0,April 2020,June 2020,United States,https://ClinicalTrials.gov/show/NCT04351620
250,250,Camostat Efficacy vs. Placebo for Outpatient Treatment of COVID-19 (CAMELOT),Recruiting,Drug: Camostat Mesilate|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,300.0,"November 9, 2020",January 2021,Georgia,https://ClinicalTrials.gov/show/NCT04583592
251,251,Hydroxychloroquine and Azithromycin as Prophylaxis for Healthcare Workers Dealing With COVID19 Patients,Not yet recruiting,Drug: HCQ & AZ,All,"25 Years to 70 Years   (Adult, Older Adult)",Not Applicable,200.0,"May 1, 2020","October 15, 2020",Jordan,https://ClinicalTrials.gov/show/NCT04354597
252,252,Covid-19 Infection and Pulmonary Distress Treatment With Zanubrutinib in Hospitalized Participants,Recruiting,Drug: Zanubrutinib|Drug: Supportive Care|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,52.0,"July 6, 2020",April 2021,Brazil,https://ClinicalTrials.gov/show/NCT04382586
253,253,Effect of Vitamin D on Morbidity and Mortality of the COVID-19,Recruiting,Drug: Cholecalciferol,All,"Child, Adult, Older Adult",Phase 4,80.0,"April 4, 2020","December 30, 2020",Spain,https://ClinicalTrials.gov/show/NCT04552951
254,254,Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19,Recruiting,Drug: Hydroxychloroquine|Drug: Azithromycin,All,"45 Years and older   (Adult, Older Adult)",Phase 3,1550.0,"April 2, 2020","December 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04334382
255,255,Evaluating the Efficacy of Convalescent Plasma in Symptomatic Outpatients Infected With COVID-19,Recruiting,Biological: CCP,All,"18 Years and older   (Adult, Older Adult)",Phase 2,150.0,"August 12, 2020","August 12, 2021",United States,https://ClinicalTrials.gov/show/NCT04438057
256,256,Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19,Completed,Procedure: blood sampling,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,99.0,"April 9, 2020","May 14, 2020",France,https://ClinicalTrials.gov/show/NCT04367662
257,257,Safety and Efficacy of PHR 160 Spray on the Outcomes of Patients With COVID-19,Recruiting,Drug: PHR160 Spray|Drug: Placebo|Drug: Standard treatment,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,224.0,"August 15, 2020","December 15, 2020","Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04463420
258,258,Povidone-Iodine Vs Essential Oil Vs Tap Water Gargling For COVID-19 Patients,Completed,Drug: Povidone-Iodine|Drug: Essential oils|Other: Tap water,All,"18 Years and older   (Adult, Older Adult)",Phase 2,20.0,"June 22, 2020","July 6, 2020",Malaysia,https://ClinicalTrials.gov/show/NCT04410159
259,259,Viruxal Oral and Nasal Spray for Treating the Symptoms of COVID-19,Recruiting,Device: Viruxal Oral and Nasal Spray|Other: Placebo,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,128.0,"September 4, 2020",March 2021,Iceland,https://ClinicalTrials.gov/show/NCT04357990
260,260,Ulinastatin for the Treatment of COVID-19 in Hospitalized Patients,Not yet recruiting,Drug: Ulinastatin|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,160.0,December 2020,June 2021,United States,https://ClinicalTrials.gov/show/NCT04393311
261,261,"Host-pathogen Interactions, Immune Response, and Clinical Prognosis at COVID-19 - the CoVUm Trial",Not yet recruiting,Procedure: Extended sampling and procedures,All,"15 Years to 100 Years   (Child, Adult, Older Adult)",Not Applicable,400.0,"April 28, 2020","April 14, 2026",Sweden,https://ClinicalTrials.gov/show/NCT04368013
262,262,Hyperimmune Convalescent Plasma in Moderate and Severe COVID-19 Disease,Completed,Biological: COVID-19 convalescent hyperimmune plasma|Biological: Non-convalescent fresh frozen plasma (Standard plasma),All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,60.0,"May 1, 2020","September 23, 2020",Russian Federation,https://ClinicalTrials.gov/show/NCT04392414
263,263,Convalescent Plasma as a Possible Treatment for COVID-19,Recruiting,Biological: Convalescent plasma|Biological: Placebo,All,"40 Years and older   (Adult, Older Adult)",Phase 2,50.0,"May 5, 2020","May 5, 2021",United States,https://ClinicalTrials.gov/show/NCT04442191
264,264,To Evaluate Safety and Efficacy of EC-18 in COVID-19 Infection to Pneumonia,Recruiting,Drug: EC-18|Drug: Placebo EC-18,All,"19 Years and older   (Adult, Older Adult)",Phase 2,60.0,"May 28, 2020",May 2022,"Korea, Republic of",https://ClinicalTrials.gov/show/NCT04500132
265,265,Efficacy and Safety Study of Allogeneic HB-adMSCs for the Treatment of COVID-19,"Active, not recruiting",Drug: HB-adMSC|Drug: Placebo,All,"Child, Adult, Older Adult",Phase 2,100.0,"June 30, 2020","October 31, 2020",United States,https://ClinicalTrials.gov/show/NCT04362189
266,266,INB03 for the Treatment of Pulmonary Complications From COVID-19,Recruiting,Drug: INB03|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,366.0,"October 21, 2020",February 2021,United States,https://ClinicalTrials.gov/show/NCT04370236
267,267,Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19,Recruiting,Drug: RhACE2 APN01|Drug: Physiological saline solution,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,200.0,"April 30, 2020",December 2020,Austria,https://ClinicalTrials.gov/show/NCT04335136
268,268,Hydroxychloroquine and Ivermectin for the Treatment of COVID-19 Infection,Completed,Drug: Hydroxychloroquine|Drug: Ivermectin|Drug: Placebo,All,"16 Years to 90 Years   (Child, Adult, Older Adult)",Phase 3,108.0,"May 4, 2020","November 6, 2020",Mexico,https://ClinicalTrials.gov/show/NCT04391127
269,269,Bidirectional Oxygenation Valve in the Management of Pulmonary Complications of COVID-19,Completed,Device: GO2 PEEP MOUTHPIECE,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,2.0,"April 8, 2020","August 31, 2020",Georgia,https://ClinicalTrials.gov/show/NCT04331366
270,270,Part Two of Novel Adoptive Cellular Therapy With SARS-CoV-2 Specific T Cells in Patients With Severe COVID-19,Recruiting,Biological: SARS-CoV-2 Specific T Cells,All,"1 Year to 90 Years   (Child, Adult, Older Adult)",Phase 1|Phase 2,18.0,"July 1, 2020",December 2022,Singapore,https://ClinicalTrials.gov/show/NCT04457726
271,271,Study of the Use of Favipiravir in Hospitalized Subjects With COVID-19,"Active, not recruiting",Drug: Favipiravir + Standard of Care|Drug: Standard of Care,All,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,50.0,"April 17, 2020","November 1, 2020",Jersey,https://ClinicalTrials.gov/show/NCT04358549
272,272,Clazakizumab vs. Placebo - COVID-19 Infection,Recruiting,Drug: Clazakizumab|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,60.0,"July 13, 2020","July 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04494724
273,273,Treatments for COVID-19: Canadian Arm of the SOLIDARITY Trial,Recruiting,Drug: Interferon beta-1a|Drug: Remdesivir,All,"18 Years and older   (Adult, Older Adult)",Phase 2,2900.0,"March 18, 2020","May 18, 2022",Canada,https://ClinicalTrials.gov/show/NCT04330690
274,274,Feasibility and Safety of High-intensity Exercise Training in Patients Surviving COVID-19,Recruiting,Behavioral: Exercise training,All,"40 Years and older   (Adult, Older Adult)",Not Applicable,10.0,"September 25, 2020","May 1, 2021",Denmark,https://ClinicalTrials.gov/show/NCT04549337
275,275,Study of Ampion for the Treatment of Adult COVID-19 Patients Requiring Oxygen Supplementation,"Active, not recruiting",Biological: Ampion|Other: Standard of Care,All,"18 Years to 89 Years   (Adult, Older Adult)",Phase 1,10.0,"July 27, 2020","November 13, 2020",United States,https://ClinicalTrials.gov/show/NCT04456452
276,276,Safety and Efficacy of AT-527 in Subjects With Moderate Coronavirus Disease (COVID-19),Recruiting,Drug: AT-527|Other: Placebo,All,"45 Years to 80 Years   (Adult, Older Adult)",Phase 2,190.0,"May 26, 2020",January 2021,Belgium,https://ClinicalTrials.gov/show/NCT04396106
277,277,"Tocilizumab to Prevent Clinical Decompensation in Hospitalized, Non-critically Ill Patients With COVID-19 Pneumonitis",Completed,Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,32.0,"April 4, 2020","June 5, 2020",United States,https://ClinicalTrials.gov/show/NCT04331795
278,278,Hydroxychloroquine in the Prevention of COVID-19 Infection in Healthcare Workers,"Active, not recruiting",Drug: Hydroxychloroquine,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,228.0,"April 3, 2020","July 30, 2020",United States,https://ClinicalTrials.gov/show/NCT04333225
279,279,"Pilot Study to Evaluate the Safety, Tolerability, and Efficacy of 5-ALA-Phosphate + SFC in Subjects With COVID-19",Not yet recruiting,Dietary Supplement: 5-ALA-Phosphate + SFC (5-ALA + SFC),All,"21 Years and older   (Adult, Older Adult)",Not Applicable,40.0,November 2020,December 2020,Bahrain,https://ClinicalTrials.gov/show/NCT04542850
280,280,Austrian CoronaVirus Adaptive Clinical Trial (COVID-19),Recruiting,Drug: Chloroquine or Hydroxychloroquine|Drug: Lopinavir/Ritonavir|Other: Best standard of care|Drug: Rivaroxaban|Drug: Thromboprophylaxis|Drug: Candesartan|Drug: non-RAS blocking antihypertensives|Drug: Clazakizumab|Drug: placebo for clazakizumab,All,"18 Years to 99 Years   (Adult, Older Adult)",Phase 2|Phase 3,500.0,"April 16, 2020","December 31, 2020",Austria,https://ClinicalTrials.gov/show/NCT04351724
281,281,Treatment in Patients With Suspected or Confirmed COVID-19 With Early Moderate or Severe Disease,"Active, not recruiting",Drug: Hydroxychloroquine|Drug: Azithromycin,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 3,600.0,"April 13, 2020","December 10, 2021",United States,https://ClinicalTrials.gov/show/NCT04344444
282,282,Hydroxychloroquine Use in Hospitalized Patients With COVID-19: Impact on Progression to Severe or Critical Disease,"Active, not recruiting",Drug: Hydroxychloroquine|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 4,700.0,"May 7, 2020","December 7, 2020",Georgia,https://ClinicalTrials.gov/show/NCT04429867
283,283,The Evaluation of Nitric Oxide Generating Lozenges on Outcome in Newly Diagnosed COVID-19 Patient of African Americans,Recruiting,"Drug: Nitric Oxide lozenges, 30 mg|Drug: Placebo",All,"50 Years to 85 Years   (Adult, Older Adult)",Phase 1|Phase 2,100.0,"November 1, 2020","July 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04601077
284,284,Direct Income SupporT and Advice Negating Spread of Epidemic COVID-19: a Randomized Controlled Trial,"Active, not recruiting",Other: Cash transfer,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,392.0,"April 20, 2020","December 30, 2020",Canada,https://ClinicalTrials.gov/show/NCT04359264
285,285,Tocilizumab for Prevention of Respiratory Failure in Patients With Severe COVID-19 Infection,"Active, not recruiting",Drug: Tocilizumab,All,"18 Years and older   (Adult, Older Adult)",Phase 2,9.0,"May 1, 2020","May 1, 2022",United States,https://ClinicalTrials.gov/show/NCT04377659
286,286,Effect of CytoSorb Adsorber on Hemodynamic and Immunological Parameters in Critical Ill Patients With COVID-19,Recruiting,Device: CytoSorb-Therapy,All,"18 Years to 90 Years   (Adult, Older Adult)",Not Applicable,24.0,"April 1, 2020",February 2021,Germany,https://ClinicalTrials.gov/show/NCT04344080
287,287,Efficacy and Safety of MTX-loaded Nanoparticles to Treat Severe COVID-19 Patients,Not yet recruiting,Drug: Methotrexate,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,42.0,"May 1, 2020","November 30, 2020",Brazil,https://ClinicalTrials.gov/show/NCT04352465
288,288,Trial to Evaluate Efficacy and Safety of Nitazoxanide in the Treatment of Mild or Moderate COVID-19,Recruiting,Drug: Nitazoxanide|Drug: Placebo|Dietary Supplement: Vitamin Super B-Complex,All,"12 Years to 120 Years   (Child, Adult, Older Adult)",Phase 3,800.0,"August 13, 2020","December 30, 2020",United States,https://ClinicalTrials.gov/show/NCT04486313
289,289,A Study to Compare the Efficacy of GNS561 Versus Standard of Care in Patients With SARS-CoV-2 (COVID-19) Infection,Recruiting,Drug: GNS561,All,"18 Years and older   (Adult, Older Adult)",Phase 2,178.0,"November 18, 2020","October 30, 2021",France,https://ClinicalTrials.gov/show/NCT04637828
290,290,Treatment of COVID-19 Patients Using Wharton's Jelly-Mesenchymal Stem Cells,Recruiting,Biological: WJ-MSCs,All,"18 Years and older   (Adult, Older Adult)",Phase 1,5.0,"March 16, 2020","September 30, 2020",Jordan,https://ClinicalTrials.gov/show/NCT04313322
291,291,A Study of Immune System Proteins in Participants With Mild to Moderate COVID-19 Illness,Recruiting,Drug: LY3819253|Drug: LY3832479|Drug: Placebo,All,18 Years to 64 Years   (Adult),Phase 2,500.0,"October 29, 2020","March 15, 2021",Georgia,https://ClinicalTrials.gov/show/NCT04634409
292,292,PVP-I Nasal Sprays and SARS-CoV-2 Nasopharyngeal Titers (for COVID-19),Recruiting,Drug: Povidone-Iodine 2%|Drug: Povidone-Iodine 0.5%|Drug: Isotonic saline 0.9%,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,45.0,"August 15, 2020",January 2021,United States,https://ClinicalTrials.gov/show/NCT04347954
293,293,Low Dose Whole Lung Radiation Therapy for Patients With COVID-19 and Respiratory Compromise,Recruiting,Radiation: Radiation therapy,All,"18 Years and older   (Adult, Older Adult)",Phase 2,24.0,"July 23, 2020","December 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04427566
294,294,Efficacy of Ivermectin in Adult Patients With Early Stages of COVID-19 (EPIC Trial),"Active, not recruiting",Drug: Ivermectin Oral Product|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,476.0,"July 14, 2020","December 21, 2020",Colombia,https://ClinicalTrials.gov/show/NCT04405843
295,295,A Phase 1/2 Study to Assess Safety and Efficacy of BAT2020 in Hospitalized COVID-19 Patients,Not yet recruiting,Drug: BAT2020,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,174.0,"October 20, 2020","August 18, 2021",United States,https://ClinicalTrials.gov/show/NCT04432766
296,296,Ivermectin vs. Placebo for the Treatment of Patients With Mild to Moderate COVID-19,Recruiting,Drug: Ivermectin Oral Product,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,100.0,"May 12, 2020","October 31, 2020",Israel,https://ClinicalTrials.gov/show/NCT04429711
297,297,Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19),Terminated,Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine sulfate,All,"16 Years to 99 Years   (Child, Adult, Older Adult)",Phase 2,65.0,"March 11, 2020","April 30, 2020","Korea, Republic of",https://ClinicalTrials.gov/show/NCT04307693
298,298,Gargling and Nasal Rinses to Reduce Oro- and Nasopharyngeal Viral Load in Patients With COVID-19,Recruiting,Drug: Saline oral/nasal rinse|Drug: 0.5% Povidone/Iodine oral/nasal rinse|Drug: 0.12% Chlorhexidine oral/nasal rinse,All,"18 Years to 79 Years   (Adult, Older Adult)",Phase 2,48.0,"April 9, 2020","May 9, 2020",United States,https://ClinicalTrials.gov/show/NCT04344236
299,299,Clinical Impact of BACTEK-R in Subject With Mild Pneumonia Due to COVID-19 Infection,Recruiting,Biological: Bactek-R,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 3,100.0,"June 10, 2020","July 31, 2021",Dominica,https://ClinicalTrials.gov/show/NCT04363814
300,300,A Randomized Controlled Clinical Trial: Hydroxychloroquine for the Treatment of COVID-19 in Hospitalized Patients,Terminated,Drug: Hydroxychloroquine,All,"18 Years to 95 Years   (Adult, Older Adult)",Phase 3,17.0,"March 26, 2020","August 31, 2020",United States,https://ClinicalTrials.gov/show/NCT04345692
301,301,A Clinical Trial of the Efficacy and Safety of Levilimab (BCD-089) in Patients With Severe COVID-19,Completed,Drug: Levilimab|Drug: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 3,206.0,"April 29, 2020","August 3, 2020",Russian Federation,https://ClinicalTrials.gov/show/NCT04397562
302,302,A Study to Evaluate the Effect of RBT-9 on Progression of COVID-19 in High-Risk Individuals (The PREVENT Study),Recruiting,Drug: RBT-9 (90 mg)|Drug: 0.9% sodium chloride (normal saline),All,"18 Years and older   (Adult, Older Adult)",Phase 2,252.0,"August 5, 2020","December 31, 2021",United States,https://ClinicalTrials.gov/show/NCT04364763
303,303,A Clinical Trial of Convalescent Plasma Compared to Best Supportive Care for Treatment of Patients With Severe COVID-19,Recruiting,Drug: Convalesscent Plasma,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 2,106.0,"August 30, 2020",February 2021,Germany,https://ClinicalTrials.gov/show/NCT04433910
304,304,Effects of COVID-19 Convalescent Plasma (CCP) on Coronavirus-associated Complications in Hospitalized Patients,"Active, not recruiting",Biological: COVID-19 Convalescent Plasma (CCP)|Biological: Placebo,All,"18 Years and older   (Adult, Older Adult)",Phase 2,50.0,"June 9, 2020","April 30, 2021",United States,https://ClinicalTrials.gov/show/NCT04421404
